logged_utc,date,player,market,side,line,src,open_odds,now_odds,move_pct,verdict,confidence,line_moved,fade_side,fade_price,captures
2026-08-08T14:00:44Z,2026-08-08,Kelsey Mitchell,pr,Over,26.5,overshoot,1.8,1.5,-16.7,BET (money agrees),BET NOW 93%,,,,3
2026-08-08T14:00:44Z,2026-08-08,Kayla McBride,pts,Over,15.5,flip_paper,1.95,1.95,0.0,BET (steady),NO READ (new line),,,,1
2026-08-08T14:00:44Z,2026-08-08,Azura Stevens,pts,Under,13.5,newunder,1.95,1.95,0.0,BET (steady),NO READ (new line),,,,1
2026-08-08T14:00:44Z,2026-08-08,Kelsey Plum,ast,Over,4.5,flip,1.67,1.67,0.0,BET (steady),NO READ (new line),,,,1
2026-08-08T14:00:44Z,2026-08-08,Shakira Austin,pts,Over,17.5,flip_paper,1.909,1.909,0.0,BET (steady),NO READ (new line),,,,1
2026-08-08T14:00:44Z,2026-08-08,Erica Wheeler,pts,Over,8.5,flip_paper,2.0,2.0,0.0,BET (steady),NO READ (new line),,,,1
2026-08-08T14:00:44Z,2026-08-08,Ariel Atkins,pts,Over,8.5,flip_paper,1.8,1.8,0.0,BET (steady),NO READ (new line),,,,1
2026-08-08T14:00:44Z,2026-08-08,Rae Burrell,pts,Over,13.5,flip_paper,1.8,1.8,0.0,BET (steady),NO READ (new line),,,,1
2026-08-08T14:47:41Z,2026-08-08,Alyssa Thomas,pts,Over,14.5,flip_paper,1.88,1.81,-3.7,BET (money agrees),BET NOW 93%,,,,9
2026-08-08T14:47:41Z,2026-08-08,Jackie Young,pra,Over,30.5,hotover,2.0,2.0,0.0,BET (steady),ok 85%,,,,8
2026-08-08T14:47:41Z,2026-08-08,Chelsea Gray,pts,Over,12.5,flip_paper,1.87,1.75,-6.4,BET (money agrees),BET NOW 93%,,,,9
2026-08-08T14:47:41Z,2026-08-08,Natasha Howard,pts,Under,11.5,newunder,1.909,1.9,-0.5,BET (steady),ok 85%,,,,9
