game_id,player,side,nfoul,t3,f3_h1,t2,times
401507138,Sophie Cunningham,home,2,,0,722.0,284|722
401507138,Kahleah Copper,away,5,1216.0,0,1092.0,289|1092|1216|1295|2394
401507138,Rebekah Gardner,away,4,407.0,1,349.0,338|349|407|1508
401507138,Michaela Onyenwere,home,3,1633.0,0,987.0,377|987|1633
401507138,Evina Westbrook,home,1,,0,,436
401507138,Brianna Turner,home,1,,0,,467
401507138,Brittney Griner,home,3,1377.0,0,1242.0,557|1242|1377
401507138,Kristine Anigwe,away,3,2200.0,0,1131.0,572|1131|2200
401507138,Alanna Smith,away,3,1967.0,0,1676.0,752|1676|1967
401507138,Dana Evans,away,2,,0,1485.0,1037|1485
401507138,Robyn Parks,away,1,,0,,1560
401507138,Moriah Jefferson,home,2,,0,2238.0,1774|2238
401507138,Morgan Bertsch,away,1,,0,,2292
401507138,Moriah Jefferson personal,home,1,,0,,2381
401507138,Brittney Griner personal,home,1,,0,,2384
401507138,Brianna Turner personal,home,1,,0,,2396
401507139,Tiffany Hayes,away,4,1341.0,0,355.0,109|355|1341|1981
401507139,Ariel Atkins,home,5,1350.0,0,335.0,153|335|1350|1468|2127
401507139,Natasha Cloud,home,2,,0,2312.0,183|2312
401507139,Brionna Jones,away,4,1971.0,0,783.0,427|783|1971|2038
401507139,Amanda Zahui B.,home,2,,0,511.0,473|511
401507139,Leigha Brown,away,2,,0,1915.0,563|1915
401507139,Tyasha Harris,away,1,,0,,682
401507139,Natisha Hiedeman,away,3,1833.0,0,1598.0,848|1598|1833
401507139,Elena Delle Donne,home,2,,0,2362.9,908|2363
401507139,Shakira Austin,home,3,2283.0,0,2060.0,915|2060|2283
401507139,DeWanna Bonner,away,2,,0,2137.0,935|2137
401507139,Alyssa Thomas,away,3,2159.0,0,2025.0,970|2025|2159
401507139,Tianna Hawkins,home,3,1993.0,0,1733.0,1035|1733|1993
401507139,Tianna Hawkins defensive 3-seconds (technical,home,1,,0,,1066
401507139,Tiffany Hayes defensive 3-seconds (technical,away,1,,0,,1125
401507139,Olivia Nelson-Ododa,away,2,,0,1483.0,1179|1483
401507139,Brittney Sykes,home,2,,0,2177.0,1710|2177
401507139,Shatori Walker-Kimbrough,home,1,,0,,2379
401507139,Kristi Toliver,home,1,,0,,2394
401507140,Cheyenne Parker,away,3,2021.0,0,1211.0,41|1211|2021
401507140,Diamond Miller,home,3,880.0,1,319.0,61|319|880
401507140,Napheesa Collier,home,6,934.0,1,305.0,104|305|934|1937|2110|2257
401507140,Nikolina Milic,home,3,977.0,1,424.0,392|424|977
401507140,Monique Billings,away,2,,0,1315.0,398|1315
401507140,Haley Jones,away,2,,0,469.0,418|469
401507140,Aari McDonald,away,2,,0,853.0,513|853
401507140,Rhyne Howard,away,4,2010.0,0,1476.0,648|1476|2010|2370
401507140,Bridget Carleton,home,1,,0,,741
401507140,Tiffany Mitchell,home,3,1582.0,0,1180.9,998|1181|1582
401507140,Lindsay Allen,home,4,1849.0,0,1376.0,1162|1376|1849|2390
401507140,Kayla McBride,home,3,2246.0,0,1899.0,1223|1899|2246
401507140,Jessica Shepard,home,2,,0,1431.0,1329|1431
401507140,AD Durr,away,1,,0,,1651
401507140,Naz Hillmon,away,2,,0,2016.0,1907|2016
401507140,Diamond Miller personal,home,1,,0,,2379
401507141,Chiney Ogwumike,home,4,1779.9,0,279.0,133|279|1780|2253
401507141,Jackie Young,away,2,,0,2279.0,296|2279
401507141,Chelsea Gray,away,4,1264.0,0,401.0,325|401|1264|2005
401507141,Alysha Clark,away,3,853.0,1,390.0,380|390|853
401507141,Jordin Canada,home,4,2151.0,0,1458.0,841|1458|2151|2380
401507141,Candace Parker,away,1,,0,,882
401507141,Kelsey Plum,away,3,2357.0,0,1296.0,1086|1296|2357
401507141,Karlie Samuelson,home,4,2021.0,0,1666.0,1116|1666|2021|2348
401507141,Dearica Hamby,home,4,1491.0,0,1279.0,1167|1279|1491|2371
401507141,A'ja Wilson,away,4,1702.0,0,1429.0,1351|1429|1702|2036
401507141,Layshia Clarendon,home,3,2184.0,0,1750.0,1429|1750|2184
401507141,Joyner Holmes,home,2,,0,1576.0,1550|1576
401507141,Zia Cooke,home,1,,0,,1826
401507142,Sophie Cunningham,home,6,965.0,1,400.0,59|400|965|1929|2053|2308
401507142,Diamond Miller,away,3,1519.0,0,1182.0,117|1182|1519
401507142,Lindsay Allen,away,5,1358.0,0,782.0,139|782|1358|1865|2325
401507142,Michaela Onyenwere,home,4,722.0,1,323.0,179|323|722|1300
401507142,Brittney Griner,home,3,1257.0,0,814.0,217|814|1257
401507142,Jessica Shepard,away,1,,0,,302
401507142,Brianna Turner,home,4,2017.0,0,1595.0,387|1595|2017|2337
401507142,Tiffany Mitchell,away,3,1343.0,0,792.0,465|792|1343
401507142,Rachel Banham,away,2,,0,533.0,490|533
401507142,Bridget Carleton,away,4,2081.0,0,2078.0,559|2078|2081|2347
401507142,Brittney Griner defensive 3-seconds (technical,home,1,,0,,570
401507142,Kadi Sissoko,home,3,1637.0,0,1625.0,1038|1625|1637
401507142,Evina Westbrook,home,1,,0,,1058
401507142,Napheesa Collier,away,1,,0,,1392
401507142,Diana Taurasi,home,1,,0,,1437
401507142,Moriah Jefferson,home,2,,0,2170.0,1725|2170
401507142,Sug Sutton,home,1,,0,,2007
401507142,Dorka Juhasz,away,1,,0,,2123
401507142,Jessica Shepard personal,away,2,,0,2372.9,2364|2373
401507143,Marina Mabrey,home,2,,0,1036.0,72|1036
401507143,Courtney Williams,home,2,,0,1053.0,377|1053
401507143,Kristine Anigwe,home,1,,0,,518
401507143,Alanna Smith,home,5,792.0,1,741.0,544|741|792|1592|1634
401507143,Brittney Sykes,away,2,,0,1143.8,675|1144
401507143,Li Meng,away,1,,0,,849
401507143,Kahleah Copper,home,2,,0,1644.0,933|1644
401507143,James Wade,home,1,,0,,972
401507143,Elizabeth Williams,home,2,,0,2391.0,1017|2391
401507143,Natasha Cloud,away,3,2182.0,0,1442.0,1080|1442|2182
401507143,Ariel Atkins,away,2,,0,1241.0,1096|1241
401507143,Shakira Austin,away,3,2390.0,0,2296.0,1246|2296|2390
401507143,Dana Evans,home,2,,0,1759.9,1508|1760
401507143,Kristi Toliver,away,2,,0,1695.0,1618|1695
401507143,Amanda Zahui B.,away,1,,0,,1833
401507143,Rebekah Gardner,home,1,,0,,2149
