game_id,matchup_diff,margin,season
401620265,-2.8494861766767983,19.0,2024
401620266,5.9462436236929035,17.0,2024
401620267,2.0941178704458245,-13.0,2024
401620268,4.606357354525119,18.0,2024
401620269,-2.992046814851322,-14.0,2024
401620270,0.003491331008210724,-24.0,2024
401620271,-6.430063971750403,-8.0,2024
401620272,0.10579323980928512,-17.0,2024
401620273,1.218441637328683,-2.0,2024
401620274,-0.7861274973955257,-13.0,2024
401620275,-0.25402834141656827,9.0,2024
401620276,-4.242106879154502,1.0,2024
401620277,1.195978100178098,-7.0,2024
401620278,0.546950589518687,-9.0,2024
401620279,5.0373151312466184,5.0,2024
401620280,0.9760851815985669,-7.0,2024
401620281,-2.3556535150970657,19.0,2024
401620282,-2.530971099401593,4.0,2024
401620283,5.971336366224051,17.0,2024
401620284,5.47344862356009,-19.0,2024
401620285,-1.233286079002037,-14.0,2024
401620286,3.5978418451743077,16.0,2024
401620287,-0.2950796537649407,-8.0,2024
401620288,-4.580080523647785,7.0,2024
401620289,-4.546428107214253,-8.0,2024
401620290,-1.7763637357120976,-4.0,2024
401620291,-4.828838004848854,2.0,2024
401620292,2.570957273245777,5.0,2024
401620293,-4.065167909174433,-18.0,2024
401620294,-2.8113020060326264,-8.0,2024
401620295,-5.456502629638885,9.0,2024
401620296,-5.513271359409922,8.0,2024
401620297,1.4607263891838873,13.0,2024
401620298,2.7330789302940195,12.0,2024
401620299,3.1614630334090514,9.0,2024
401620300,-3.1717008751424407,6.0,2024
401620301,-1.9263192098256456,7.0,2024
401620302,-0.8938819235589528,13.0,2024
401620303,-3.5581898762797306,11.0,2024
401620304,1.7802872605508946,11.0,2024
401620305,1.504407134925418,13.0,2024
401620306,6.324128277127105,-12.0,2024
401620307,-3.559602917360147,11.0,2024
401620308,-2.4085802910293608,28.0,2024
401620309,1.29901286815103,10.0,2024
401620310,4.395031339009719,13.0,2024
401620311,2.7589320208302404,-21.0,2024
401620312,-0.9067701010965796,8.0,2024
401620313,3.69506572592103,1.0,2024
401620314,-0.9489336579633216,11.0,2024
401677672,-3.632220059259079,-5.0,2024
401620315,-4.813430517418987,6.0,2024
401620316,-5.10498379668818,-3.0,2024
401620317,1.7515065257985505,-12.0,2024
401620318,5.352986756609896,12.0,2024
401620319,-0.5573581703063708,-4.0,2024
401620320,0.24987062374925428,14.0,2024
401620321,-0.8633520271608661,-11.0,2024
401620322,4.654152282515349,21.0,2024
401620323,-1.9018827208838036,6.0,2024
401620324,-1.7174403425971136,-8.0,2024
401620325,0.8201846606083074,-6.0,2024
401620326,-2.904467849352758,-11.0,2024
401620327,4.0676529461224495,24.0,2024
401620328,-4.218829697356136,9.0,2024
401620329,1.1541914780551865,-8.0,2024
401620330,1.1283613972024464,19.0,2024
401620331,-0.8534229695087805,-2.0,2024
401620332,0.07434759134877122,-8.0,2024
401620333,2.3199484637847068,-5.0,2024
401620334,1.7747318707655153,21.0,2024
401620335,-5.1486492291821495,3.0,2024
401620336,-2.9864640539063387,5.0,2024
401620337,1.5115813422032303,-4.0,2024
401620338,-2.0999198038308955,5.0,2024
401620339,7.665701647281651,7.0,2024
401620340,-1.409169931710844,13.0,2024
401620341,4.682789761075969,19.0,2024
401620342,0.6394131004607373,13.0,2024
401620343,0.07617241595067581,-6.0,2024
401620344,-6.435533489443495,-15.0,2024
401620345,1.2219682674047794,-3.0,2024
401620346,0.9722161581983084,-5.0,2024
401620347,-0.42670522936649435,9.0,2024
401620348,1.6491302649036221,-5.0,2024
401620349,2.1180309196317593,16.0,2024
401620350,-1.641320774960397,15.0,2024
401620351,0.8109365310783632,-14.0,2024
401620352,0.661545323135281,9.0,2024
401620353,-0.9753493811360432,28.0,2024
401620354,0.8274410793992053,-14.0,2024
401620355,-2.627839366716712,-6.0,2024
401620356,3.4387896904574022,27.0,2024
401620357,-4.422529936717755,-12.0,2024
401620358,2.3603887180356162,11.0,2024
401620359,4.803464292736484,-7.0,2024
401620360,-0.806997929302971,-9.0,2024
401620361,-5.911921791370023,-6.0,2024
401620362,-1.7596127793904386,8.0,2024
401620363,-0.39230048871090095,-8.0,2024
401620364,1.6027439556496468,7.0,2024
401620365,-3.270891987190007,8.0,2024
401620458,0.0,8.0,2024
401620366,5.63266859454029,-20.0,2024
401620367,6.425584339311147,11.0,2024
401620368,-3.764789642337152,-35.0,2024
401620369,-1.9993209466523285,2.0,2024
401620370,0.2011101587926778,9.0,2024
401620371,-5.52551680318243,-18.0,2024
401620372,-6.421942196289121,-16.0,2024
401620373,-1.123663620485417,-12.0,2024
401620374,-2.8877984904966096,-4.0,2024
401620375,0.9817000796613279,12.0,2024
401620376,4.203067611971473,16.0,2024
401620377,-5.400412137756828,17.0,2024
401620378,-3.8650754767370428,18.0,2024
401620379,4.222635956133023,8.0,2024
401620380,7.471913290973024,20.0,2024
401620381,-6.4835876183140115,-6.0,2024
401620382,4.842801176992783,9.0,2024
401620383,-2.1896318893485742,-11.0,2024
401620384,6.950268461424109,8.0,2024
401620385,4.828008077020904,-2.0,2024
401620386,0.7971675324045139,2.0,2024
401620387,-0.7803925114458172,6.0,2024
401620388,3.409790038569237,13.0,2024
401620389,1.1855717636102747,-8.0,2024
401620390,4.129758811338361,10.0,2024
401620391,2.912110110598457,-2.0,2024
401620392,-1.7662504760282696,3.0,2024
401620393,5.166873217152059,-5.0,2024
401620394,-3.2888710199339712,-14.0,2024
401620395,5.767395469654394,-2.0,2024
401620396,-4.46406493855447,3.0,2024
401620397,-3.248630303589681,4.0,2024
401620398,5.100137719791229,-4.0,2024
401620399,-6.61006565115014,6.0,2024
401620400,-3.1993973285539576,-13.0,2024
401620401,-1.2395471352326877,4.0,2024
