game_id,season,margin,total,pstr,pnews,telo,zone,rest,b2b,form5,pace_d,pace_s,tov,oreb,ftr,p3ar,p3pct,stk,bench,drop,fluid,pmr,pfr,ftp,blkr,q4,road,m_scdef,m_pade,m_rb,m_vo,m_all5,lgenv
401507195,2023,31.0,155.0,0.5162,0.5622,130.4,-0.572,1,0,7.78,2.68,162.17,-0.026,-0.0427,-0.0751,0.0076,0.0375,6.16,0.2846,0.4372,0.364,0.6054,-0.8501,-0.0272,2.7057,0.0073,1,0.5473,0.6079,0.0406,0.0375,0.8909,159.64
401507196,2023,12.0,158.0,-0.0472,-0.0082,3.8,-7.106,1,0,-1.99,-2.72,170.93,-0.0431,0.0822,-0.0632,0.0529,-0.0745,1.28,0.2641,-0.3703,0.1287,-0.2407,0.3128,0.0718,0.3797,-0.078,3,-0.1198,0.2318,0.2072,0.2105,0.5365,159.58
401507197,2023,-6.0,128.0,0.1486,0.2878,60.4,1.514,0,0,7.29,1.01,160.1,-0.0088,-0.0474,-0.0474,-0.0084,0.0075,2.39,0.0189,0.3383,0.2372,0.3224,0.8422,-0.0392,0.0022,-0.0592,2,0.2089,0.3714,0.1124,0.0786,0.6242,159.56
401507198,2023,-6.0,164.0,-0.363,-0.403,-122.7,-6.851,1,0,-10.97,-0.38,164.94,0.0022,-0.0472,0.002,0.1065,-0.0209,0.63,-0.1285,-0.3701,-0.1606,-0.3823,-0.6085,-0.0327,2.823,-0.1389,1,0.0657,-0.1623,-0.1355,0.0774,-0.2368,159.16
401507199,2023,-20.0,178.0,-0.7829,-0.921,-169.9,-3.734,0,0,-28.22,-1.4,161.62,0.0572,0.0068,0.0434,0.0085,-0.0294,-3.38,-0.4688,-0.6192,-0.6654,-1.2887,5.0226,0.0039,-0.9846,-0.0406,0,-0.7125,-0.672,-0.1251,-0.3467,-1.5072,159.22
401507200,2023,-21.0,139.0,-0.073,-0.0921,-17.8,-1.051,0,0,-11.0,1.97,160.02,0.017,0.0458,-0.1039,-0.0389,0.0222,-0.31,0.4733,-0.7408,-0.0209,-0.496,-0.6612,-0.1158,1.9664,0.184,0,-0.026,-0.0693,-0.0201,-0.0216,-0.061,159.46
401507201,2023,-21.0,157.0,-0.4085,-0.309,-110.3,-1.671,0,0,-11.3,-3.39,161.95,0.0026,-0.0302,0.0134,0.0693,-0.0441,-3.47,0.0069,-0.3712,-0.1998,-0.4311,-3.4965,0.0355,-0.5852,0.0121,2,-0.1585,-0.4599,0.0834,-0.0734,-0.491,159.21
401507202,2023,-12.0,148.0,-0.1098,-0.091,-37.6,-0.586,-2,0,-8.06,1.16,163.16,0.0152,-0.087,0.0486,0.1084,0.0308,4.27,0.0515,-0.2157,-0.1668,-0.1316,-1.532,-0.037,2.781,-0.0499,0,0.2805,0.198,-0.0384,0.0036,0.1172,159.18
401507203,2023,-30.0,190.0,-0.3938,-0.4775,-64.6,3.405,-2,0,-9.59,4.78,167.5,0.0133,-0.004,0.0788,-0.1249,-0.0201,-1.82,-0.338,-0.1004,-0.4778,-0.43,2.2469,-0.0197,-0.7173,0.1709,0,-0.3012,-0.515,-0.0635,0.0057,-0.8,159.05
401507204,2023,2.0,150.0,-0.0326,-0.0374,16.0,5.472,0,0,-0.56,-3.7,163.47,0.0138,-0.1618,-0.0487,0.0074,0.0171,-1.97,-0.615,0.7225,-0.2081,0.0131,-2.6255,-0.0687,-2.1661,0.0382,0,-0.1283,0.0014,-0.2595,-0.2419,-0.5663,159.41
401507205,2023,13.0,189.0,0.614,0.7166,125.1,1.989,1,0,12.55,-0.61,161.46,-0.0272,-0.0792,-0.0005,0.0666,0.0318,5.78,0.2005,0.6729,0.5238,0.7461,-4.9443,-0.0,2.1041,-0.1388,1,0.7508,0.6437,-0.2068,-0.1235,0.7275,159.3
